"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Features","Number of Channels","FIFO's","Protocol","Voltage - Supply","With Parallel Port","With Auto Flow Control","With IrDA Encoder/Decoder","With False Start Bit Detection","With Modem Control","With CMOS","Mounting Type","Package / Case","Supplier Device Package"
"http://www.ti.com/lit/ds/symlink/tl16c550c.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-1787-1-ND","TL16C550CPTR","Texas Instruments","IC ASYNC COMM ELEMENT 48-LQFP",5093,10001,"4.54720",250,1,"Cut Tape (CT)","-","False-start Bit Detection","1, UART","16 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://www.ti.com/lit/ds/symlink/tl16c550c.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-1787-6-ND","TL16C550CPTR","Texas Instruments","IC ASYNC COMM ELEMENT 48-LQFP",5093,10000,"Calculate",250,1,"Digi-Reel®","-","False-start Bit Detection","1, UART","16 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://www.ti.com/lit/ds/symlink/tl16c752b.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-26706-1-ND","TL16C752BPTR","Texas Instruments","IC DUAL UART 3.3V W/FIFO 48-LQFP",3783,10000,"6.63310",250,1,"Cut Tape (CT)","-","False-start Bit Detection","2, DUART","64 Byte","-","2.7 V ~ 3.6 V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://www.ti.com/lit/ds/symlink/tl16c752b.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg","296-26706-6-ND","TL16C752BPTR","Texas Instruments","IC DUAL UART 3.3V W/FIFO 48-LQFP",3783,10000,"Calculate",250,1,"Digi-Reel®","-","False-start Bit Detection","2, DUART","64 Byte","-","2.7 V ~ 3.6 V","-","Yes","-","Yes","Yes","-","Surface Mount","48-LQFP","48-LQFP (7x7)"
"http://datasheets.maximintegrated.com/en/ds/MAX3109.pdf","http://media.digikey.com/renders/Maxim%20Renders/25-WLP_21-0180A.jpg","MAX3109ETJ+-ND","MAX3109ETJ+","Maxim Integrated","IC UART DUAL 32-TQFN",1135,6060,"9.51940",250,1,"","*","","","","","","","","","","","","","",""
"http://www.nxp.com/documents/data_sheet/SC26C92.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","568-1113-5-ND","SC26C92C1A,512","NXP Semiconductors","IC UART DUAL W/FIFO 44-PLCC",1282,0,"8.50540",250,1,"Tube","-","Transceiver","2, DUART","8 Byte","-","5V","-","Yes","-","Yes","Yes","Yes","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.59x16.59)"
"http://www.ti.com/lit/ds/symlink/pc16550d.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","PC16550DV/NOPB-ND","PC16550DV/NOPB","Texas Instruments","IC UART WITH FIFO 44-PLCC",471,10000,"9.54200",250,1,"Tube","-","Modem Control Function","1, UART","16 Byte","-","4.5 V ~ 5.5 V","-","-","-","Yes","Yes","-","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.58x16.58)"
"http://www.ti.com/lit/ds/symlink/ns16c552.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","PC16552DV/NOPB-ND","PC16552DV/NOPB","Texas Instruments","IC UART DUAL WITH FIFO 44-PLCC",1286,10000,"11.58860",250,1,"Tube","-","False-start Bit Detection","2, DUART","16 Byte","-","5V","-","-","-","Yes","Yes","-","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.58x16.58)"
"http://www.ti.com/lit/ds/symlink/tl16c554a.pdf","http://media.digikey.com/Renders/Cypress%20Semi%20Renders/68-PLCC.jpg","296-6587-5-ND","TL16C554AFN","Texas Instruments","IC QUAD UART W/FIFO 68-PLCC",534,0,"12.63720",250,1,"Tube","-","False-start Bit Detection","4, QUART","16 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","68-LCC (J-Lead)","68-PLCC (24.23x24.23)"
"http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg","568-3278-ND","SC16C654BIBM,151","NXP Semiconductors","IC UART QUAD W/FIFO 64-LQFP",496,0,"12.28270",250,1,"Tray","-","False-start Bit Detection","4, QUART","64 Byte","-","2.5V, 3.3V, 5V","-","Yes","Yes","Yes","Yes","Yes","Surface Mount","64-LQFP","64-LQFP (7x7)"
"http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg","568-8273-ND","SC16C654BIB64,151","NXP Semiconductors","IC UART QUAD W/FIFO 64-LQFP",625,0,"12.56220",250,1,"Tray","-","False-start Bit Detection","4, QUART","64 Byte","-","2.5V, 3.3V, 5V","-","Yes","Yes","Yes","Yes","Yes","Surface Mount","64-LQFP","64-LQFP (10x10)"
"http://www.nxp.com/documents/data_sheet/SC16C754B.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-LQFP.jpg","568-1207-ND","SC16C754BIB80,557","NXP Semiconductors","IC UART QUAD W/FIFO 80-LQFP",619,0,"12.56220",250,1,"Tray","-","-","4, QUART","64 Byte","-","2.5V, 3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","80-LQFP","80-LQFP (12x12)"
"http://datasheets.maximintegrated.com/en/ds/MAX14830.pdf","http://media.digikey.com/Renders/Maxim%20Renders/48-QFN%2021-0141.jpg","MAX14830ETM+-ND","MAX14830ETM+","Maxim Integrated","IC UART QUAD 48-TQFN",1039,0,"19.04000",250,1,"","*","","","","","","","","","","","","","",""
"http://www.ti.com/lit/ds/symlink/tl16c554.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-LQFP.jpg","296-26705-ND","TL16C554IPN","Texas Instruments","IC ASYNC COMM ELEMENT 80-LQFP",319,4641,"15.04430",250,1,"Tray","-","False-start Bit Detection","4, QUART","16 Byte","-","4.75 V ~ 5.25 V","-","-","-","Yes","Yes","-","Surface Mount","80-LQFP","80-LQFP (12x12)"
"http://www.ti.com/lit/ds/symlink/tl16c754b.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-LQFP.jpg","296-6593-5-ND","TL16C754BPN","Texas Instruments","IC QUAD UART W/FIFO 80-LQFP",1220,9996,"18.72940",250,1,"Tube","-","Programmable","4, QUART","64 Byte","-","3.3V, 5V","-","Yes","-","Yes","Yes","-","Surface Mount","80-LQFP","80-LQFP (12x12)"
"http://www.exar.com/Common/Content/Document.ashx?id=358","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg","1016-1282-ND","XR16L784IV-F","Exar Corporation","IC UART 8B 3.3V QUAD 64LQFP",260,0,"27.00696",250,1,"Tray","-","-","4, QUART","64 Byte","RS485","2.97 V ~ 5.5 V","-","Yes","Yes","Yes","Yes","-","Surface Mount","64-LQFP","64-LQFP (10x10)"
"http://www.nxp.com/documents/data_sheet/SC28C94.pdf","http://media.digikey.com/Renders/STMicro%20Renders/52-PLCC.jpg","568-3993-5-ND","SC28C94A1A,512","NXP Semiconductors","IC UART QUAD W/FIFO 52-PLCC",1579,0,"32.91070",250,1,"Tube","-","False-start Bit Detection","4, QUART","8 Byte","-","5V","-","Yes","-","Yes","Yes","Yes","Surface Mount","52-LCC (J-Lead)","52-PLCC (19.2x19.2)"
"http://www.exar.com/Common/Content/Document.ashx?id=90","http://media.digikey.com/Renders/Renesas%20Tech%20Renders/100-BQFP;%20PRQP0100JD-B.jpg","1016-1284-ND","XR16L788IQ-F","Exar Corporation","IC UART 64B 3.3V OCTAL 100QFP",854,0,"30.66440",250,1,"Tray","-","-","8","64 Byte","RS485","2.97 V ~ 5.5 V","-","Yes","Yes","Yes","Yes","-","Surface Mount","100-BQFP","100-QFP (14x20)"
"http://www.nxp.com/documents/data_sheet/SCC2698B.pdf","http://media.digikey.com/photos/NXP%20Semi%20Photos/568-84-PLCC,SOT189-2.jpg","568-1120-5-ND","SCC2698BC1A84,512","NXP Semiconductors","IC UART OCTAL ENHANCED 84-PLCC",474,0,"40.85470",250,1,"Tube","-","False-start Bit Detection","8","3Bit","-","5V","-","Yes","-","Yes","Yes","Yes","Surface Mount","84-LCC (J-Lead)","84-PLCC"
"http://www.exar.com/Common/Content/Document.ashx?id=90","http://media.digikey.com/Renders/Renesas%20Tech%20Renders/100-BQFP;%20PRQP0100JD-B.jpg","1016-1283-ND","XR16L788CQ-F","Exar Corporation","IC UART 64B 3.3V OCTAL 100QFP",172,0,"38.69288",250,1,"Tray","-","-","8","64 Byte","RS485","2.97 V ~ 5.5 V","-","Yes","Yes","Yes","Yes","-","Surface Mount","100-BQFP","100-QFP (14x20)"
