"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Color","CCT (K)","Flux @ 85°C, Current - Test","Flux @ 25°C, Current - Test","Current - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","CRI (Color Rendering Index)","Current - Max","Viewing Angle","Mounting Type","Package / Case"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1032-1-ND","SPMWHT541MD5WAR0S3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",49073,0,"0.41560",25,1,"Cut Tape (CT)","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1032-6-ND","SPMWHT541MD5WAR0S3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",49073,0,"Calculate",25,1,"Digi-Reel®","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1033-1-ND","SPMWHT541MD5WARMS3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",51580,0,"0.43360",25,1,"Cut Tape (CT)","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201504/Data_Sheet_LM561B_Rev.8.0.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1033-6-ND","SPMWHT541MD5WARMS3","Samsung Semiconductor, Inc.","LED LM561B COOL WHITE 5000K 4SMD",51580,0,"Calculate",25,1,"Digi-Reel®","LM561B","White, Cool","5000K","-","32 lm (31 lm ~ 33 lm)","65mA","2.95V","167 lm/W","80","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201402/Data_Sheet_LM561B_High_CRI_Rev.001.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1041-1-ND","SPMWHT541MD7WATMS0","Samsung Semiconductor, Inc.","LED LM561B NEU WHITE 4000K 4SMD",63696,0,"0.43360",25,1,"Cut Tape (CT)","LM561B","White, Neutral","4000K","-","26 lm (23 lm ~ 29 lm)","65mA","2.95V","136 lm/W","90","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201402/Data_Sheet_LM561B_High_CRI_Rev.001.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPMWHT541MD5WAxxxx.jpg","1510-1041-6-ND","SPMWHT541MD7WATMS0","Samsung Semiconductor, Inc.","LED LM561B NEU WHITE 4000K 4SMD",63696,0,"Calculate",25,1,"Digi-Reel®","LM561B","White, Neutral","4000K","-","26 lm (23 lm ~ 29 lm)","65mA","2.95V","136 lm/W","90","150mA","120°","Surface Mount","4-SMD, Flat Lead Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1A(1075).pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1A-WKW-CXAYB153.JPG","CLA1A-WKW-CXAYB153CT-ND","CLA1A-WKW-CXAYB153","Cree Inc.","LED COOL WHITE 5500K 72CRI 4LCC",27407,0,"0.34000",25,1,"Cut Tape (CT)","-","White, Cool","5500K","-","7 lm (Typ)","30mA","3.6V","65 lm/W","72 (Typ)","35mA","-","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1A(1075).pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1A-WKW-CXAYB153.JPG","CLA1A-WKW-CXAYB153DKR-ND","CLA1A-WKW-CXAYB153","Cree Inc.","LED COOL WHITE 5500K 72CRI 4LCC",27407,0,"Calculate",25,1,"Digi-Reel®","-","White, Cool","5500K","-","7 lm (Typ)","30mA","3.6V","65 lm/W","72 (Typ)","35mA","-","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Renders/Cree%20Renders/CLA1B-WKW.jpg","CLA1B-WKW-XD0F0E13CT-ND","CLA1B-WKW-XD0F0E13","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",44973,0,"0.43000",25,1,"Cut Tape (CT)","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Renders/Cree%20Renders/CLA1B-WKW.jpg","CLA1B-WKW-XD0F0E13DKR-ND","CLA1B-WKW-XD0F0E13","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",44973,0,"Calculate",25,1,"Digi-Reel®","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1B-WKW-XD0F0E33.JPG","CLA1B-WKW-XD0F0E33CT-ND","CLA1B-WKW-XD0F0E33","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",23679,0,"0.43000",25,1,"Cut Tape (CT)","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/HB/Data%20Sheets/CLA1BWKWMKW.pdf","http://media.digikey.com/Photos/Cree%20Photos/CLA1B-WKW-XD0F0E33.JPG","CLA1B-WKW-XD0F0E33DKR-ND","CLA1B-WKW-XD0F0E33","Cree Inc.","LED CLA1B COOL WHT 75CRI 4PLCC",23679,0,"Calculate",25,1,"Digi-Reel®","CLA1B-WKW/MKW","White, Cool","-","-","10 lm (6 lm ~ 14 lm)","30mA","3.2V","105 lm/W","75","80mA","120°","Surface Mount","4-PLCC"
"http://www.qt-brightek.com/datasheet/QBHP686-IWK-XX.pdf","http://media.digikey.com/Photos/QT%20Brightek%20Photos/MFG_QBHP686-IWK-XX.jpg","1516-1050-1-ND","QBHP686-IWK-CW","QT Brightek (QTB)","LED COOL WHITE 6020K 80CRI 2PLCC",11868,0,"0.64520",25,1,"Cut Tape (CT)","-","White, Cool","6020K (5300K ~ 7050K)","-","19 lm (Typ)","60mA","3.2V","99 lm/W","80","75mA","-","Surface Mount","2-PLCC"
"http://www.qt-brightek.com/datasheet/QBHP686-IWK-XX.pdf","http://media.digikey.com/Photos/QT%20Brightek%20Photos/MFG_QBHP686-IWK-XX.jpg","1516-1050-6-ND","QBHP686-IWK-CW","QT Brightek (QTB)","LED COOL WHITE 6020K 80CRI 2PLCC",11868,0,"Calculate",25,1,"Digi-Reel®","-","White, Cool","6020K (5300K ~ 7050K)","-","19 lm (Typ)","60mA","3.2V","99 lm/W","80","75mA","-","Surface Mount","2-PLCC"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMLB.pdf","http://media.digikey.com/Photos/Cree%20Photos/ML-B.jpg","MLBAWT-A1-0000-000WE3CT-ND","MLBAWT-A1-0000-000WE3","Cree Inc.","LED XLAMP COOL WHITE 5000K 4SMD",24935,0,"0.58000",25,1,"Cut Tape (CT)","XLamp® ML-B","White, Cool","5000K","-","27 lm (24 lm ~ 31 lm)","80mA","3.3V","102 lm/W","75 (Typ)","175mA","120°","Surface Mount","4-SMD, J-Lead Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMLB.pdf","http://media.digikey.com/Photos/Cree%20Photos/ML-B.jpg","MLBAWT-A1-0000-000WE3DKR-ND","MLBAWT-A1-0000-000WE3","Cree Inc.","LED XLAMP COOL WHITE 5000K 4SMD",24935,0,"Calculate",25,1,"Digi-Reel®","XLamp® ML-B","White, Cool","5000K","-","27 lm (24 lm ~ 31 lm)","80mA","3.3V","102 lm/W","75 (Typ)","175mA","120°","Surface Mount","4-SMD, J-Lead Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/ds%20XHG.pdf","http://media.digikey.com/Photos/Cree%20Photos/Xlamp%20XH-G%20SERIES.JPG","XHGAWT-00-0000-00000HXE1CT-ND","XHGAWT-00-0000-00000HXE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",10491,0,"0.73000",25,1,"Cut Tape (CT)","XLamp® XH-G","White, Cool","6500K","-","29 lm (27 lm ~ 31 lm)","65mA","2.9V","154 lm/W","80","350mA","130°","Surface Mount","2-SMD, No Lead"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/ds%20XHG.pdf","http://media.digikey.com/Photos/Cree%20Photos/Xlamp%20XH-G%20SERIES.JPG","XHGAWT-00-0000-00000HXE1DKR-ND","XHGAWT-00-0000-00000HXE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",10491,0,"Calculate",25,1,"Digi-Reel®","XLamp® XH-G","White, Cool","6500K","-","29 lm (27 lm ~ 31 lm)","65mA","2.9V","154 lm/W","80","350mA","130°","Surface Mount","2-SMD, No Lead"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMLC.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XLamp%20ML-C.jpg","MLCAWT-A1-0000-000XE1CT-ND","MLCAWT-A1-0000-000XE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 4SMD",14542,0,"0.82000",25,1,"Cut Tape (CT)","XLamp® ML-C","White, Cool","6500K","-","29 lm (27 lm ~ 31 lm)","100mA","3.2V","91 lm/W","75 (Typ)","350mA","120°","Surface Mount","4-SMD, J-Lead Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMLC.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XLamp%20ML-C.jpg","MLCAWT-A1-0000-000XE1DKR-ND","MLCAWT-A1-0000-000XE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 4SMD",14542,0,"Calculate",25,1,"Digi-Reel®","XLamp® ML-C","White, Cool","6500K","-","29 lm (27 lm ~ 31 lm)","100mA","3.2V","91 lm/W","75 (Typ)","350mA","120°","Surface Mount","4-SMD, J-Lead Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/ds%20XQD.pdf","http://media.digikey.com/Photos/Cree%20Photos/XQBAWT-00-0000-00000HXE5.jpg","XQDAWT-00-0000-00000HDE1CT-ND","XQDAWT-00-0000-00000HDE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",3628,0,"1.60000",25,1,"Cut Tape (CT)","XLamp® XQ-D","White, Cool","6500K","-","111 lm (107 lm ~ 114 lm)","350mA","3.1V","102 lm/W","80","700mA","145°","Surface Mount","2-SMD, No Lead"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/ds%20XQD.pdf","http://media.digikey.com/Photos/Cree%20Photos/XQBAWT-00-0000-00000HXE5.jpg","XQDAWT-00-0000-00000HDE1DKR-ND","XQDAWT-00-0000-00000HDE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",3628,0,"Calculate",25,1,"Digi-Reel®","XLamp® XQ-D","White, Cool","6500K","-","111 lm (107 lm ~ 114 lm)","350mA","3.1V","102 lm/W","80","700mA","145°","Surface Mount","2-SMD, No Lead"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201312/Data_Sheet_LH351A_Rev.009.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPHWHTL3D305E6UPH3.JPG","1510-1067-1-ND","SPHWHTL3D303E6QTM2","Samsung Semiconductor, Inc.","LED LH351A COOL WHITE 5700K 2SMD",12475,0,"1.94640",25,1,"Cut Tape (CT)","LH351A","White, Cool","5700K","-","150 lm (140 lm ~ 160 lm)","350mA","2.95V","145 lm/W","70","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201312/Data_Sheet_LH351A_Rev.009.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPHWHTL3D305E6UPH3.JPG","1510-1067-6-ND","SPHWHTL3D303E6QTM2","Samsung Semiconductor, Inc.","LED LH351A COOL WHITE 5700K 2SMD",12475,0,"Calculate",25,1,"Digi-Reel®","LH351A","White, Cool","5700K","-","150 lm (140 lm ~ 160 lm)","350mA","2.95V","145 lm/W","70","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201312/Data_Sheet_LH351A_Rev.009.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPHWHTL3D305E6UPH3.JPG","1510-1066-1-ND","SPHWHTL3D303E6RTM2","Samsung Semiconductor, Inc.","LED LH351A COOL WHITE 5000K 2SMD",11063,0,"1.94640",25,1,"Cut Tape (CT)","LH351A","White, Cool","5000K","-","150 lm (140 lm ~ 160 lm)","350mA","2.95V","145 lm/W","70","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.samsung.com/global/business/business-images/led/file/product/lighting/201312/Data_Sheet_LH351A_Rev.009.pdf","http://media.digikey.com/Photos/Samsung%20Photos/SPHWHTL3D305E6UPH3.JPG","1510-1066-6-ND","SPHWHTL3D303E6RTM2","Samsung Semiconductor, Inc.","LED LH351A COOL WHITE 5000K 2SMD",11063,0,"Calculate",25,1,"Digi-Reel®","LH351A","White, Cool","5000K","-","150 lm (140 lm ~ 160 lm)","350mA","2.95V","145 lm/W","70","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX3.pdf","http://media.digikey.com/photos/Cree%20Photos/MX3AWT-A1-R250-000BE3.jpg","MX3AWT-A1-R250-000BE3CT-ND","MX3AWT-A1-R250-000BE3","Cree Inc.","LED XLAMP COOL WHITE 5000K 2SMD",1781,0,"1.79000",25,1,"Cut Tape (CT)","XLamp® MX-3","White, Cool","5000K","-","97 lm (94 lm ~ 100 lm)","350mA","3.7V","75 lm/W","75 (Typ)","500mA","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX3.pdf","http://media.digikey.com/photos/Cree%20Photos/MX3AWT-A1-R250-000BE3.jpg","MX3AWT-A1-R250-000BE3DKR-ND","MX3AWT-A1-R250-000BE3","Cree Inc.","LED XLAMP COOL WHITE 5000K 2SMD",1781,0,"Calculate",25,1,"Digi-Reel®","XLamp® MX-3","White, Cool","5000K","-","97 lm (94 lm ~ 100 lm)","350mA","3.7V","75 lm/W","75 (Typ)","500mA","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPE2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XPEBWT.jpg","XPEBWT-L1-0000-00D50CT-ND","XPEBWT-L1-0000-00D50","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",3801,0,"2.28000",25,1,"Cut Tape (CT)","XLamp® XP-E2","White, Cool","6200K","111 lm (107 lm ~ 114 lm)","-","350mA","2.9V","109 lm/W","70 (Typ)","1A","110°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPE2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XPEBWT.jpg","XPEBWT-L1-0000-00D50DKR-ND","XPEBWT-L1-0000-00D50","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",3801,0,"Calculate",25,1,"Digi-Reel®","XLamp® XP-E2","White, Cool","6200K","111 lm (107 lm ~ 114 lm)","-","350mA","2.9V","109 lm/W","70 (Typ)","1A","110°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX6.pdf","http://media.digikey.com/Photos/Cree%20Photos/MX6AWT-Series.jpg","MX6AWT-A1-R250-000D51CT-ND","MX6AWT-A1-R250-000D51","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",5631,0,"2.06000",25,1,"Cut Tape (CT)","XLamp® MX-6","White, Cool","6500K","-","111 lm (107 lm ~ 114 lm)","300mA","3.3V","112 lm/W","75 (Typ)","1A","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX6.pdf","http://media.digikey.com/Photos/Cree%20Photos/MX6AWT-Series.jpg","MX6AWT-A1-R250-000D51DKR-ND","MX6AWT-A1-R250-000D51","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",5631,0,"Calculate",25,1,"Digi-Reel®","XLamp® MX-6","White, Cool","6500K","-","111 lm (107 lm ~ 114 lm)","300mA","3.3V","112 lm/W","75 (Typ)","1A","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXBD.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XBDAWT%20Cool%20White.jpg","XBDAWT-00-0000-000000F51CT-ND","XBDAWT-00-0000-000000F51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",10883,0,"2.48000",25,1,"Cut Tape (CT)","XLamp® XB-D","White, Cool","6200K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","-","1A","115°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXBD.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XBDAWT%20Cool%20White.jpg","XBDAWT-00-0000-000000F51DKR-ND","XBDAWT-00-0000-000000F51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",10883,0,"Calculate",25,1,"Digi-Reel®","XLamp® XB-D","White, Cool","6200K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","-","1A","115°","Surface Mount","2-SMD, No Lead, Exposed Pad"
